name,prefix,suffix,long,lat,level,id,tinh_id
Quận Ba Đình,Quận,Ba Đình,105.814248,21.033916,2,267,11
Quận 1,Quận,1,106.699014,10.780745,2,268,12
Quận Dương Kinh,Quận,Dương Kinh,106.711713,20.797317,2,269,13
Quận Cẩm Lệ,Quận,Cẩm Lệ,108.204199,16.017047,2,270,14
Quận Bình Thủy,Quận,Bình Thủy,105.754377,10.070942,2,271,15
Thành phố Long Xuyên,Thành phố,Long Xuyên,105.441,10.3835,2,272,16
Thành phố Vũng Tàu,Thành phố,Vũng Tàu,107.092,10.3492,2,273,17
Thành phố Bạc Liêu,Thành phố,Bạc Liêu,105.722,9.28796,2,274,18
Thành phố Bắc Giang,Thành phố,Bắc Giang,106.192,21.2774,2,275,19
Thành phố Bắc Kạn,Thành phố,Bắc Kạn,105.836,22.1485,2,276,20
Thành phố Bắc Ninh,Thành phố,Bắc Ninh,106.071,21.1783,2,277,21
Thành phố Bến Tre,Thành phố,Bến Tre,106.376,10.236,2,278,22
Thành phố Thủ Dầu Một,Thành phố,Thủ Dầu Một,106.653,10.979,2,279,23
Thành phố Quy Nhơn,Thành phố,Quy Nhơn,109.222,13.7754,2,280,24
Thành phố Đồng Xoài,Thành phố,Đồng Xoài,106.902,11.5374,2,281,25
Thành phố Phan Thiết,Thành phố,Phan Thiết,108.109,10.9282,2,282,26
Thành phố Cà Mau,Thành phố,Cà Mau,105.151,9.17629,2,283,27
Thành phố Cao Bằng,Thành phố,Cao Bằng,106.26,22.6652,2,284,28
Thành phố Buôn Ma Thuột,Thành phố,Buôn Ma Thuột,108.045,12.68,2,285,29
Thị xã Gia Nghĩa,Thị xã,Gia Nghĩa,107.687,12.004,2,286,30
Thành phố Điện Biên Phủ,Thành phố,Điện Biên Phủ,103.015,21.3883,2,287,31
Thành phố Biên Hòa,Thành phố,Biên Hòa,106.818,10.9463,2,288,32
Thành phố Cao Lãnh,Thành phố,Cao Lãnh,105.636,10.457,2,289,33
Thành phố Pleiku,Thành phố,Pleiku,108.014,13.9716,2,290,34
Thành phố Hà Giang,Thành phố,Hà Giang,104.983,22.8289,2,291,35
Thành phố Phủ Lý,Thành phố,Phủ Lý,105.914,20.5422,2,292,36
Thành phố Hà Tĩnh,Thành phố,Hà Tĩnh,105.902,18.3449,2,293,37
Thành phố Hải Dương,Thành phố,Hải Dương,106.333,20.9396,2,294,38
Thị xã Ngã Bảy,Thị xã,Ngã Bảy,105.822,9.80981,2,295,39
Thành phố Hòa Bình,Thành phố,Hòa Bình,105.343,20.8202,2,296,40
Thành phố Hưng Yên,Thành phố,Hưng Yên,106.057,20.6551,2,297,41
Thành phố Nha Trang,Thành phố,Nha Trang,109.189,12.2472,2,298,42
Thành phố Rạch Giá,Thành phố,Rạch Giá,105.084,10.0115,2,299,43
Thành phố Kon Tum,Thành phố,Kon Tum,107.999,14.3628,2,300,44
Thành phố Lai Châu,Thành phố,Lai Châu,103.447862,22.398874,2,301,45
Thành phố Đà Lạt,Thành phố,Đà Lạt,108.436,11.9433,2,302,46
Thành phố Lạng Sơn,Thành phố,Lạng Sơn,106.759,21.8538,2,303,47
Thành phố Lào Cai,Thành phố,Lào Cai,103.968,22.4983,2,304,48
Thành phố Tân An,Thành phố,Tân An,106.413,10.5384,2,305,49
Thành phố Nam Định,Thành phố,Nam Định,106.175,20.4283,2,306,50
Thành phố Vinh,Thành phố,Vinh,105.683,18.6666,2,307,51
Thành phố Ninh Bình,Thành phố,Ninh Bình,105.974,20.258,2,308,52
Thành phố Phan Rang-Tháp Chàm,Thành phố,Phan Rang-Tháp Chàm,108.991,11.5663,2,309,53
Thành phố Việt Trì,Thành phố,Việt Trì,105.388,21.3223,2,310,54
Thành phố Tuy Hòa,Thành phố,Tuy Hòa,109.316,13.0958,2,311,55
Thành phố Đồng Hới,Thành phố,Đồng Hới,106.622,17.4713,2,312,56
Thành phố Hội An,Thành phố,Hội An,108.326,15.8849,2,313,57
Thành phố Quảng Ngãi,Thành phố,Quảng Ngãi,108.804,15.1232,2,314,58
Thành phố Hạ Long,Thành phố,Hạ Long,107.083,20.9515,2,315,59
Thành phố Đông Hà,Thành phố,Đông Hà,107.1,16.8164,2,316,60
Thành phố Sóc Trăng,Thành phố,Sóc Trăng,105.974,9.60433,2,317,61
Thành phố Sơn La,Thành phố,Sơn La,103.909,21.3336,2,318,62
Thành phố Tây Ninh,Thành phố,Tây Ninh,106.097,11.3136,2,319,63
Thành phố Thái Bình,Thành phố,Thái Bình,106.34,20.4474,2,320,64
Thành phố Thái Nguyên,Thành phố,Thái Nguyên,105.844,21.5942,2,321,65
Thành phố Thanh Hóa,Thành phố,Thanh Hóa,105.78,19.8074,2,322,66
Thành phố Huế,Thành phố,Huế,107.595,16.4632,2,323,67
Thành phố Mỹ Tho,Thành phố,Mỹ Tho,106.367,10.3574,2,324,68
Thành phố Trà Vinh,Thành phố,Trà Vinh,106.34,9.93775,2,325,69
Thành phố Tuyên Quang,Thành phố,Tuyên Quang,105.228,21.7766,2,326,70
Thành phố Vĩnh Long,Thành phố,Vĩnh Long,105.969,10.2559,2,327,71
Thành phố Vĩnh Yên,Thành phố,Vĩnh Yên,105.593,21.3079,2,328,72
Thành phố Yên Bái,Thành phố,Yên Bái,104.913,21.7231,2,329,73
Quận Cầu Giấy,Quận,Cầu Giấy,105.800255,21.031477,2,523,11
Quận 2,Quận,2,106.749559,10.79187,2,524,12
Quận Hải An,Quận,Hải An,106.72001,20.83273,2,525,13
Quận Hải Châu,Quận,Hải Châu,108.223063,16.06196,2,526,14
Quận Cái Răng,Quận,Cái Răng,105.750535,10.000989,2,527,15
Thành phố Châu Đốc,Thành phố,Châu Đốc,105.119,10.7112,2,528,16
Thành phố Bà Rịa,Thành phố,Bà Rịa,107.17,10.494,2,529,17
Thị xã Giá Rai,Thị xã,Giá Rai,105.458,9.23796,2,530,18
Huyện Hiệp Hòa,Huyện,Hiệp Hòa,105.979,21.3552,2,531,19
Huyện Ba Bể,Huyện,Ba Bể,105.73,22.4552,2,532,20
Huyện Gia Bình,Huyện,Gia Bình,106.171,21.0567,2,533,21
Huyện Ba Tri,Huyện,Ba Tri,106.594,10.0421,2,534,22
Thị xã Bến Cát,Thị xã,Bến Cát,106.591,11.1527,2,535,23
Thị xã An Nhơn,Thị xã,An Nhơn,109.11,13.8862,2,536,24
Thị xã Bình Long,Thị xã,Bình Long,106.608,11.6511,2,537,25
Thị xã La Gi,Thị xã,La Gi,107.751,10.6839,2,538,26
Huyện Cái Nước,Huyện,Cái Nước,105.015,8.94511,2,539,27
Huyện Bảo Lâm,Huyện,Bảo Lâm,105.493,22.8349,2,540,28
Thị xã Buôn Hồ,Thị xã,Buôn Hồ,108.265,12.9152,2,541,29
Huyện Cư Jút,Huyện,Cư Jút,107.894,12.5876,2,542,30
Thị xã Mường Lay,Thị xã,Mường Lay,103.154105,22.038627,2,543,31
Thị xã Long Khánh,Thị xã,Long Khánh,107.242,10.9287,2,544,32
Thành phố Sa Đéc,Thành phố,Sa Đéc,105.767,10.2925,2,545,33
Thị xã An Khê,Thị xã,An Khê,108.656,13.9526,2,546,34
Huyện Bắc Mê,Huyện,Bắc Mê,105.312,22.7386,2,547,35
Huyện Bình Lục,Huyện,Bình Lục,106.008,20.4906,2,548,36
Thị xã Hồng Lĩnh,Thị xã,Hồng Lĩnh,105.706,18.5293,2,549,37
Thành phố Chí Linh,Thành phố,Chí Linh,106.389,21.1105,2,550,38
Thành phố Vị Thanh,Thành phố,Vị Thanh,105.467498,9.780431,2,551,39
Huyện Cao Phong,Huyện,Cao Phong,105.324,20.7189,2,552,40
Thị xã Mỹ Hào,Thị xã,Mỹ Hào,106.058,20.9338,2,553,41
Thành phố Cam Ranh,Thành phố,Cam Ranh,109.146,11.917,2,554,42
Thành phố Hà Tiên,Thành phố,Hà Tiên,104.488,10.3835,2,555,43
Huyện Kon Plông,Huyện,Kon Plông,108.289,14.5986,2,556,44
Huyện Mường Tè,Huyện,Mường Tè,102.802,22.3852,2,557,45
Thành phố Bảo Lộc,Thành phố,Bảo Lộc,107.809,11.5466,2,558,46
Huyện Bắc Sơn,Huyện,Bắc Sơn,106.319,21.9001,2,559,47
Huyện Bắc Hà,Huyện,Bắc Hà,104.292,22.5384,2,560,48
Thị xã Kiến Tường,Thị xã,Kiến Tường,105.940944,10.775166,2,561,49
Huyện Giao Thủy,Huyện,Giao Thủy,106.445,20.2839,2,562,50
Thị xã Cửa Lò,Thị xã,Cửa Lò,105.718,18.8182,2,563,51
Thành phố Tam Điệp,Thành phố,Tam Điệp,105.914,20.1546,2,564,52
Huyện Bác Ái,Huyện,Bác Ái,108.926,11.8555,2,565,53
Thị xã Phú Thọ,Thị xã,Phú Thọ,105.223,21.3993,2,566,54
Huyện Đông Hòa,Huyện,Đông Hòa,109.332,12.9913,2,567,55
Thị xã Ba Đồn,Thị xã,Ba Đồn,106.424,17.7537,2,568,56
Thành phố Tam Kỳ,Thành phố,Tam Kỳ,108.474,15.5772,2,569,57
Huyện Ba Tơ,Huyện,Ba Tơ,108.733,14.7636,2,570,58
Thành phố Móng Cái,Thành phố,Móng Cái,107.972,21.5261,2,571,59
Thị xã Quảng Trị,Thị xã,Quảng Trị,107.191,16.7498,2,572,60
Thị xã Vĩnh Châu,Thị xã,Vĩnh Châu,105.981,9.3241,2,573,61
Huyện Bắc Yên,Huyện,Bắc Yên,104.434,21.2444,2,574,62
Huyện Bến Cầu,Huyện,Bến Cầu,106.18,11.1109,2,575,63
Huyện Hưng Hà,Huyện,Hưng Hà,106.226,20.5895,2,576,64
Thành phố Sông Công,Thành phố,Sông Công,105.844,21.4662,2,577,65
Thị xã Bỉm Sơn,Thị xã,Bỉm Sơn,105.857,20.0792,2,578,66
Huyện A Lưới,Huyện,A Lưới,107.231,16.2741,2,579,67
Thị xã Gò Công,Thị xã,Gò Công,106.675,10.361,2,580,68
