name,prefix,suffix,long,lat,level,id,huyen_id
Phường Cống Vị,Phường,Cống Vị,105.808584,21.037668,3,65803,267
Phường Bến Nghé,Phường,Bến Nghé,106.706268,10.782445,3,65804,268
Phường Anh Dũng,Phường,Anh Dũng,106.697511,20.819737,3,65805,269
Phường Hòa An,Phường,Hòa An,108.178294,16.050426,3,65806,270
Phường An Thới,Phường,An Thới,105.76683,10.058633,3,65807,271
Phường Bình Đức,Phường,Bình Đức,105.419645,10.404716,3,65808,272
Phường 1,Phường,1,107.074248,10.348186,3,65809,273
Phường 1,Phường,1,105.727253,9.296449,3,65810,274
Phường Đa Mai,Phường,Đa Mai,106.176166,21.279924,3,65811,275
Phường Đức Xuân,Phường,Đức Xuân,105.834417,22.144224,3,65812,276
Phường Đại Phúc,Phường,Đại Phúc,106.07635,21.175862,3,65813,277
Phường 1,Phường,1,106.38058,10.237826,3,65814,278
Phường Chánh Mỹ,Phường,Chánh Mỹ,106.64393,10.994162,3,65815,279
Phường Bùi Thị Xuân,Phường,Bùi Thị Xuân,109.149613,13.765777,3,65816,280
Phường Tân Bình,Phường,Tân Bình,106.897601,11.534746,3,65817,281
Phường Bình Hưng,Phường,Bình Hưng,108.10419,10.927947,3,65818,282
Phường 1,Phường,1,105.126805,9.189606,3,65819,283
Phường Đề Thám,Phường,Đề Thám,106.216873,22.68347,3,65820,284
Phường Ea Tam,Phường,Ea Tam,108.027745,12.657157,3,65821,285
Phường Nghĩa Đức,Phường,Nghĩa Đức,107.705241,11.997264,3,65822,286
Phường Him Lam,Phường,Him Lam,103.032015,21.406406,3,65823,287
Phường An Bình,Phường,An Bình,106.858368,10.927281,3,65824,288
Phường 1,Phường,1,105.63474,10.460088,3,65825,289
Phường Chi Lăng,Phường,Chi Lăng,108.01088,13.943447,3,65826,290
Phường Minh Khai,Phường,Minh Khai,104.986631,22.818359,3,65827,291
Phường Châu Sơn,Phường,Châu Sơn,105.905614,20.52032,3,65828,292
Phường Bắc Hà,Phường,Bắc Hà,105.89934,18.344579,3,65829,293
Phường Ái Quốc,Phường,Ái Quốc,106.378122,20.968207,3,65830,294
Phường Hiệp Thành,Phường,Hiệp Thành,105.82438,9.808529,3,65831,295
Phường Chăm Mát,Phường,Chăm Mát,105.350891,20.787166,3,65832,296
Phường An Tảo,Phường,An Tảo,106.060892,20.672507,3,65833,297
Phường Lộc Thọ,Phường,Lộc Thọ,109.195123,12.238607,3,65834,298
Phường An Bình,Phường,An Bình,105.115199,9.964149,3,65835,299
Phường Duy Tân,Phường,Duy Tân,108.001323,14.366507,3,65836,300
Phường Đoàn Kết,Phường,Đoàn Kết,103.452276,22.399992,3,65837,301
Phường 1,Phường,1,108.435688,11.943152,3,65838,302
Phường Chi Lăng,Phường,Chi Lăng,106.755438,21.845744,3,65839,303
Phường Bắc Cường,Phường,Bắc Cường,103.983067,22.47159,3,65840,304
Phường 1,Phường,1,106.416204,10.53922,3,65841,305
Phường Bà Triệu,Phường,Bà Triệu,106.173714,20.428871,3,65842,306
Phường Bến Thủy,Phường,Bến Thủy,105.704728,18.657289,3,65843,307
Phường Bích Đào,Phường,Bích Đào,105.987659,20.248582,3,65844,308
Phường Bảo An,Phường,Bảo An,108.950988,11.59137,3,65845,309
Phường Bạch Hạc,Phường,Bạch Hạc,105.44588,21.287619,3,65846,310
Phường 1,Phường,1,109.299378,13.084201,3,65847,311
Phường Bắc Lý,Phường,Bắc Lý,106.59132,17.472668,3,65848,312
Phường Cẩm An,Phường,Cẩm An,108.336353,15.913926,3,65849,313
Phường Chánh Lộ,Phường,Chánh Lộ,108.805032,15.113145,3,65850,314
Phường Bạch Đằng,Phường,Bạch Đằng,107.092369,20.95507,3,65851,315
Phường 1,Phường,1,107.098257,16.820296,3,65852,316
Phường 1,Phường,1,105.975211,9.605373,3,65853,317
Phường Chiềng An,Phường,Chiềng An,103.909999,21.359419,3,65854,318
Phường 1,Phường,1,106.08929,11.318605,3,65855,319
Phường Bồ Xuyên,Phường,Bồ Xuyên,106.338797,20.453892,3,65856,320
Phường Cam Giá,Phường,Cam Giá,105.878582,21.550964,3,65857,321
Phường An Hoạch,Phường,An Hoạch,105.749256,19.795682,3,65858,322
Phường An Cựu,Phường,An Cựu,107.600543,16.453118,3,65859,323
Phường 1,Phường,1,106.364268,10.35593,3,65860,324
Phường 1,Phường,1,106.338389,9.938234,3,65861,325
Phường An Tường,Phường,An Tường,105.214089,21.795801,3,65862,326
Phường 1,Phường,1,105.970749,10.254199,3,65863,327
Phường Đống Đa,Phường,Đống Đa,105.603178,21.308889,3,65864,328
Phường Đồng Tâm,Phường,Đồng Tâm,104.914622,21.722284,3,65865,329
Phường Dịch Vọng,Phường,Dịch Vọng,105.79424,21.036948,3,66059,523
Phường An Khánh,Phường,An Khánh,106.721183,10.780815,3,66060,524
Phường Cát Bi,Phường,Cát Bi,106.705222,20.827093,3,66061,525
Phường Bình Hiên,Phường,Bình Hiên,108.220932,16.058351,3,66062,526
Phường Ba Láng,Phường,Ba Láng,105.747245,9.984908,3,66063,527
Phường Châu Phú A,Phường,Châu Phú A,105.11436,10.715395,3,66064,528
Phường Kim Dinh,Phường,Kim Dinh,107.131297,10.502485,3,66065,529
Phường 1,Phường,1,105.458769,9.238632,3,66066,530
Thị trấn Thắng,Thị trấn,Thắng,105.984051,21.354146,3,66067,531
Thị trấn Chợ Rã,Thị trấn,Chợ Rã,105.740111,22.457337,3,66068,532
Thị trấn Gia Bình,Thị trấn,Gia Bình,106.178883,21.053548,3,66069,533
Thị trấn Ba Tri,Thị trấn,Ba Tri,106.593628,10.041819,3,66070,534
Phường Chánh Phú Hòa,Phường,Chánh Phú Hòa,106.669893,11.145462,3,66071,535
Phường Bình Định,Phường,Bình Định,109.113029,13.887402,3,66072,536
Phường An Lộc,Phường,An Lộc,106.6069,11.651857,3,66073,537
Phường Bình Tân,Phường,Bình Tân,107.779559,10.661776,3,66074,538
Thị trấn Cái Nước,Thị trấn,Cái Nước,105.014839,8.945224,3,66075,539
Thị trấn Pác Miầu,Thị trấn,Pác Miầu,105.493289,22.838036,3,66076,540
Phường An Bình,Phường,An Bình,108.265393,12.916149,3,66077,541
Thị trấn Ea T'Ling,Thị trấn,Ea T'Ling,107.893901,12.587285,3,66078,542
Xã Lay Nưa,Xã,Lay Nưa,103.150249,21.98003,3,66079,543
Phường Phú Bình,Phường,Phú Bình,107.235344,10.914769,3,66080,544
Phường 1,Phường,1,105.764469,10.296853,3,66081,545
Phường An Bình,Phường,An Bình,108.648683,13.95516,3,66082,546
Thị trấn Yên Phú,Thị trấn,Yên Phú,105.311572,22.738518,3,66083,547
Thị trấn Bình Mỹ,Thị trấn,Bình Mỹ,106.006216,20.490528,3,66084,548
Phường Bắc Hồng,Phường,Bắc Hồng,105.7033,18.535543,3,66085,549
Phường Bến Tắm,Phường,Bến Tắm,106.436591,21.164489,3,66086,550
Phường 1,Phường,1,105.464559,9.78008,3,66087,551
Thị trấn Cao Phong,Thị trấn,Cao Phong,105.320689,20.704635,3,66088,552
Xã Bạch Sam,Xã,Bạch Sam,106.108453,20.916983,3,66089,553
Phường Ba Ngòi,Phường,Ba Ngòi,109.138133,11.91649,3,66090,554
Phường Bình San,Phường,Bình San,104.479668,10.389027,3,66091,555
Xã Đắk Long,Xã,Đắk Long,108.288901,14.600999,3,66092,556
Thị trấn Mường Tè,Thị trấn,Mường Tè,102.802071,22.383882,3,66093,557
Phường 1,Phường,1,107.80987,11.547338,3,66094,558
Thị trấn Bắc Sơn,Thị trấn,Bắc Sơn,106.319146,21.900928,3,66095,559
Thị trấn Bắc Hà,Thị trấn,Bắc Hà,104.292496,22.539926,3,66096,560
Phường 1,Phường,1,105.936018,10.77407,3,66097,561
Thị trấn Ngô Đồng,Thị trấn,Ngô Đồng,106.442373,20.282293,3,66098,562
Phường Nghi Hải,Phường,Nghi Hải,105.740693,18.759892,3,66099,563
Phường Bắc Sơn,Phường,Bắc Sơn,105.91173,20.156672,3,66100,564
Xã Phước Bình,Xã,Phước Bình,108.788339,12.003385,3,66101,565
Phường Âu Cơ,Phường,Âu Cơ,105.218932,21.398025,3,66102,566
Thị trấn Hòa Hiệp Trung,Thị trấn,Hòa Hiệp Trung,109.382091,12.990712,3,66103,567
Phường Ba Đồn,Phường,Ba Đồn,106.423955,17.756805,3,66104,568
Phường An Mỹ,Phường,An Mỹ,108.480774,15.565177,3,66105,569
Thị trấn Ba Tơ,Thị trấn,Ba Tơ,108.732995,14.763312,3,66106,570
Phường Bình Ngọc,Phường,Bình Ngọc,108.005206,21.473871,3,66107,571
Phường 1,Phường,1,107.188302,16.7397,3,66108,572
Phường 1,Phường,1,105.980477,9.324964,3,66109,573
Thị trấn Bắc Yên,Thị trấn,Bắc Yên,104.432128,21.245927,3,66110,574
Thị trấn Bến Cầu,Thị trấn,Bến Cầu,106.179591,11.110669,3,66111,575
Thị trấn Hưng Hà,Thị trấn,Hưng Hà,106.224212,20.59019,3,66112,576
Phường Cải Đan,Phường,Cải Đan,105.864144,21.458974,3,66113,577
Phường Ba Đình,Phường,Ba Đình,105.863698,20.082949,3,66114,578
Thị trấn A Lưới,Thị trấn,A Lưới,107.234075,16.270662,3,66115,579
Phường 1,Phường,1,106.671833,10.359865,3,66116,580
Phường 1,Phường,1,106.493061,9.634572,3,66117,581
Thị trấn Vĩnh Lộc,Thị trấn,Vĩnh Lộc,105.273297,22.144219,3,66118,582
Phường Cái Vồn,Phường,Cái Vồn,105.822566,10.068049,3,66119,583
Phường Đồng Xuân,Phường,Đồng Xuân,105.732479,21.278446,3,66120,584
Phường Cầu Thia,Phường,Cầu Thia,104.519461,21.589205,3,66121,585
Phường Bạch Đằng,Phường,Bạch Đằng,105.863111,21.013902,3,66315,779
Phường 1,Phường,1,106.677364,10.768069,3,66316,780
Phường Hạ Lý,Phường,Hạ Lý,106.673891,20.860391,3,66317,781
Phường Hòa Hiệp Bắc,Phường,Hòa Hiệp Bắc,108.119307,16.127592,3,66318,782
Phường An Bình,Phường,An Bình,105.750896,10.009883,3,66319,783
Phường Long Châu,Phường,Long Châu,105.229141,10.801592,3,66320,784
Xã Kim Long,Xã,Kim Long,107.245845,10.696541,3,66321,785
Thị trấn Ngan Dừa,Thị trấn,Ngan Dừa,105.449987,9.566851,3,66322,786
Thị trấn Kép,Thị trấn,Kép,106.279539,21.408631,3,66323,787
Thị trấn Phủ Thông,Thị trấn,Phủ Thông,105.87971,22.272289,3,66324,788
Thị trấn Thứa,Thị trấn,Thứa,106.2015,21.017773,3,66325,789
Thị trấn Bình Đại,Thị trấn,Bình Đại,106.694378,10.185388,3,66326,790
Phường Khánh Bình,Phường,Khánh Bình,106.757343,11.049501,3,66327,791
Thị trấn An Lão,Thị trấn,An Lão,108.891687,14.614024,3,66328,792
Phường Long Phước,Phường,Long Phước,106.944787,11.828732,3,66329,793
Thị trấn Chợ Lầu,Thị trấn,Chợ Lầu,108.503089,11.22179,3,66330,794
Thị trấn Đầm Dơi,Thị trấn,Đầm Dơi,105.198421,8.992558,3,66331,795
Thị trấn Bảo Lạc,Thị trấn,Bảo Lạc,105.679984,22.949501,3,66332,796
Xã Cuôr Knia,Xã,Cuôr Knia,107.9648,12.771425,3,66333,797
Thị trấn Đắk Mâm,Thị trấn,Đắk Mâm,107.861431,12.463802,3,66334,798
Thị trấn Mường Ảng,Thị trấn,Mường Ảng,103.222591,21.519948,3,66335,799
Xã Long Giao,Xã,Long Giao,107.231632,10.822411,3,66336,800
Phường An Lạc,Phường,An Lạc,105.335805,10.812815,3,66337,801
Phường Cheo Reo,Phường,Cheo Reo,108.427446,13.424051,3,66338,802
Thị trấn Việt Quang,Thị trấn,Việt Quang,104.807601,22.415943,3,66339,803
Thị trấn Đồng Văn,Thị trấn,Đồng Văn,105.918714,20.64227,3,66340,804
